label,sentence,pred_label
neutral,చైనా చేసిన రాజకీయంతో ఎనెస్జిలో భారత్కు సభ్యత్వం ఇప్పుడే రాకపోయినా క్షిపణి పరిజ్ఞాన నియంత్రణ వ్యవస్థ(ఎంటిసిఆర్)లో మాత్రం తాజాగా భారత్కు పూరిస్థాయి సభ్యత్వం లభించింది., negative
neutral,"అసద్ను ఏదో ఒక కారణంతో గద్దె దించి ఆ స్థానంలో కీలుబొమ్మను ప్రతిష్ఠించాలని, తద్వారా పశ్చిమాసియాలో ప్రాబల్యం మరింత పెంచుకోవాలని అమెరికా తహతహలాడుతోంది.", negative
negative,"బోస్ అదృశ్యంపై అనేక కుట్రసిద్ధాంతాలు, కట్టు కథలు ప్రచారంలో ఉన్న ఈ దేశంలో మూడు విచారణ కమిటీలతో పాటు విడతలవారీగా వెలుగుచూస్తున్న ఈ రహస్యఫైళ్ళు కూడా గుట్టువిప్పినదేమీ లేదు.", negative
positive,టెక్నాలజీని ఉపయోగించుకుని తీసుకుంటున్న కొన్ని చర్యలవల్ల ప్రభుత్వ పథకాల అమలులో అవినీతిని చాలావరకు నిరోధించగలుతున్నారు., negative
neutral,జిహాద్ కోసం కాశ్మీర్లోని యువకులను సన్నద్ధం చేయడానికి బుర్హాన్ వని సామాజిక మాధ్యమాలను విరివిగా వినియోగించుకునేవాడు., negative
negative,"వైద్య, ఆరోగ్య శాఖ అధికారులు తమ నివేదికలను వినిపిస్తున్నప్పుడు ఉట్నూర్ మండల జడ్పీటీసీ సభ్యుడు జగ్జీవన్ అడ్డుకొని ఉట్నూర్ పీహెచ్సీలో వైద్యులు అందుబాటులో లేక గిరిజనులకు సరైన వైద్యం అందడం లేదని, శ్యాంపూర్, హస్నాపూర్, దంతన్పెల్లి పీహెచ్సీల వైద్యులైతే ఎప్పుడు వస్తారో, ఎప్పుడు వెళ్తారో తెలియడం లేదని తెలిపారు.", negative
neutral,"వీటిలో ముథోల్ మండలంలోని కారెగాం చెరువు,కుభీర్ మండలం చాటలోని సత్యం ప్రాజెక్టు, చెన్నూర్ మండలం కట్టెసారలలోని పెద్ద చెరువు, బెజ్జూర్ మండలం రుద్రాపూర్లోని కొత్త చెరువు, ఇదే మండల కేంద్రంలోని బాలి చెరువు, కౌటాల మండల కేంద్రంలోని ఊర కుంట, ఇదే మండలంలోని కనికి, ముత్యంపేట, తలూరి చెరువులు, దహెగాం మండలం రాంపూర్లోని బిద్రా చెరువు, సిర్పూర్ మండలం లోన్కెల్లిలోని రావికుంట చెరువుల మరమ్మత్తులు చేపట్టనున్నారు.", negative
negative,వేలాది మంది అమాయకులను పొట్టన పెట్టుకుంటూనే ఉన్నారు., negative
positive,జిఎస్టి పన్ను పరిధిలోకి కొత్త సెక్టార్లు కూడా కలవడం వల్ల ప్రభుత్వానికి రాబోయే రోజుల్లో ఆదాయం గణనీయంగా పెరుగుతుంది., negative
negative,ఉత్పత్తిని ప్రారంభించి వేతనాలు చెల్లించ కుంటే చలో హైదరాబాద్కు పిలుపునిస్తామన్నారు., negative
neutral,"ధర్నా పేరుతో మూడువేల మంది, ప్రధానంగా యాదవులు, ఈ పార్కులో తాత్కాలిక నిర్మాణాల్లో తిష్ఠవేశారు.", negative
neutral,మౌలికంగా ఉభయ రాష్ట్రాల ప్రజల మనస్తత్వాల మధ్యగల తేడా ఇది!, negative
neutral,"అయితే పన్ను ఎంత ఉండాలనే అంశాన్ని కేంద్ర ఆర్ధిక మంత్రి, ఆర్ధిక శాఖ కార్యదర్శి, రాష్ట్రాల ఆర్ధిక మంత్రులతో కూడిన కమిటీ నిర్ణయిస్తుంది.", negative
neutral,ఈ నిర్ణయం బ్రిటన్ భవిష్యత్తుతో పాటు ఈయూ అస్తిత్వాన్ని కూడా ప్రభావితం చేయబోతున్నది., negative
negative,సర్వత్రా ఆరోపణలు మంచిర్యాలలో సబ్రిజిస్ట్రార్ కార్యాలయానికి సంబంధించి నకిలీ దస్తావేజులు సృష్టిస్తున్నారనే ఆరోపణలు వినిపిస్తున్నాయి., negative
positive,దేశ సైనికరంగానికి ఇది విశేషంగా ఉపకరించబోతున్నది., negative
neutral,సమర్ధ నాయకత్వం లేకపోవడం ఆది నుంచి జమ్మూ కాశ్మీర్ పాలిట శాపంగా పరిణమించింది., negative
negative,"అంతే కాకుండా ఫిబ్రవరిలో సరఫరా చేయాల్సిన బియ్యానికి సంబంధించిన ఆర్వోలు ఇదే నెల 6, 10వ తేదీల్లో ఆర్వో జారీ అయిన విశయాన్ని చూస్తే బియ్యం పంపీణీలో అధికారుల పనితీరు స్పష్టమవుతోంది.", negative
positive,రైతులు ఈ అవకాశాన్ని తప్పని సరిగా వినియోగించుకోవాలని కోరారు., negative
positive,"వైర్సకు అనుకూలమైన వాతావరణం ఇక్కడున్నందున, అది మన సరిహద్దుల్లోకి ప్రవేశించి ఇక్కడి దోమలతో వియ్యమందకుండా జాగ్రత్త పడాలి.", negative
neutral,"నేతాజీ సుభాస్ చంద్రబోస్కు సంబంధించి ప్రధాని మోదీ విడుదల చేసిన వందఫైళ్ళు రహస్యాలను ఛేదించిందీ లేదు, దేశాన్ని కుదిపేసిందీ లేదు.", negative
positive,మెస్ల సంఖ్యను రెండు నుంచి మూడుకు పెంచి టెండర్లు పిలుస్తామని తెలిపారు., negative
neutral,తలమడుగు మండలం కజ్జర్లలో బోథ్ ఎమ్మెల్యే రాథోడ్ బాపురావు పాల్గొన్నారు., negative
positive,"విద్యార్థులకు రుచి కరమైన భోజనం కో సం సన్న బియ్యం, కుటుంబంలో ప్రతి ఒక్కరికీ 6 కిలోల బియ్యం పంపిణీ చేస్తుందని చెప్పారు.", negative
neutral,"మలేసి యా, వియత్నాం, తెవాన్, బ్రూనై, ఫిలిప్పీన్స్ దేశాల తలరాత మార్చేయగలిగి నంత చమురు సంపద వాటి తీరాల్లో ఉంది.", negative
neutral,అరవింద్ సుబ్రమణియన్ను ఆర్థిక శాఖ ముఖ్య ఆర్థిక సలహాదారు పదవి నుంచి తొలగించాలని కూడా స్వామి డిమాండ్ చేస్తున్నారు., negative
neutral,"తర్వాత బెల్లంపల్లిలో సభ్యత్వ నమోదుకు హాజరై, ఆసిఫాబాద్ చేరుకున్నారు.", negative
negative,శవం పూర్తిగా కుళ్లిపోవడంతో గుర్తుపట్టటేని స్థితిలో ఉండడంతో రాత్రి పంచనామా చేసే అవకాశం లేకుండాపోయింది., negative
positive,వీటన్నింటిని దృష్టిలో ఉంచుకుని ఈ సమీకృత సమాచార వ్యవస్థను రూపొందించారు., negative
positive,వారి సమస్యలను పరిష్కరిస్తానని గ్రామస్తులకు ఎమ్మెల్యే హామీ ఇచ్చారు., negative
negative,పశ్చిమబెంగాల్లో తొలివిడత పోలింగ్ జరగబోతున్న తరుణంలో సంభవించిన ఈ దుర్ఘటన అధికారపక్షాన్ని బాగా ఇరుకున పడవేసింది., negative
positive,"అన్ని వివక్షలనూ దూరం చేసుకొని, పరివర్తనతో ఆధునికమవుతూ సర్వజనామోదంగా సాగినప్పుడు దాని మనుగడకు తిరుగుండదు.", negative
positive,ప్రధాని నరేంద్రమోడీ మంత్రివర్గ విస్తరణ ద్వారా పార్టీపైనా ప్రభుత్వం పైనా తనకున్న పట్టును మరోమారు నిరూపించుకున్నారు., negative
negative,"ఈ రాత్రి సదస్సు భారత సభ్యత్వంపై ప్రత్యేక చర్చ చేసినప్పటికీ, మళ్ళీ ఎన్పీటీ (అణ్వస్త్రవ్యాప్తి నిరోధక ఒప్పందం) చుట్టే తిరుగుతున్న కారణంగా ఏకాభిప్రాయానికి రాలేకపోయిందని సమాచారం.", negative
positive,"అలాగే, రెండవ ప్రపంచయుద్ధ కాలంనాటి పరిస్థితులను చక్కగా తెరకెక్కించి, కుల మతాల కంచెను కూల్చాలన్న చక్కని సందేశాన్ని తన ‘కంచె’ చిత్రంతో సమాజానికి అందించిన క్రిష్ అభినందనీయులు.", positive
negative,"దహెగాం మండలంలో వైద్యులు సమయానికి రావడం లేదని జెడ్పీటీసీ సభ్యురాలు సుజాత తెలుపగా, పీహెచ్సీల్లో విధులు నిర్వహిస్తున్న వైద్యులు వేరే జిల్లాలకు వెళ్లిపోతున్నారని పలువురు సభ్యులు మంత్రుల దృష్టికి తీసుకువచ్చారు.", negative
negative,"విద్యార్థులకు సరిగ్గా భోజనం పెట్టడం లేదని వచ్చిన వార్త కథనాలపై స్పందించి ఆయన, బాసర ట్రిపులైటీని ఆదివారం మధ్యాహ్నం ఆకస్మికంగా తనిఖీ చేశారు.", negative
positive,"రాబోయే ఐదేళ్ళలో చిన్న ఉపగ్రహాలు, నానో ఉపగ్రహాల డిమాండ్ రెండురెట్లు దాటిపోతుందని అంచనా.", negative
positive,గ్రామ సమస్యలను సర్పంచ్ సాయారెడ్డి మంత్రి దృష్టికి తేగా నిధులు మంజూరు చేస్తామన్నారు., negative
positive,"రెండో విడత పల్స్ పోలియో కార్యక్రమాన్ని జిల్లాలో వం ద శాతం పూర్తయ్యేలా ప్రతి సర్పంచ్, ఎంపీటీసీ, ఎంపీపీలు, జెడ్పీటీసీలు, ఇతర ప్రజాప్రతినిధులు సహకరించాలని కోరారు.", negative
negative,ఆ ఎన్నికల్లో భారతీయ జనతా పార్టీ ఘోర ఓటమి చవిచూసింది., negative
positive,మరణించిన రైతుల స్థానంలో తమ వారసుల పేరట అదే సర్వే నంబర్తో పహణి పత్రికలు ఇచ్చినా రుణ మాఫీ వర్తింపజేయాలని కూడా ప్రభుత్వం ఆదేశించింది., negative
positive,అరవింద్ కేజ్రీవాల్ ఆధ్వర్యంలోని ఆమాద్మీ పార్టీ ఘన విజయం సాధించింది., negative
neutral,ఇలాంటి వాటన్నింటికి కేంద్రం అంగీకరించింది., negative
positive,మలివిడత పల్స్పోలియోను 22న విజయవంతంగా నిర్వహించాలని కలెక్టర్ డా. ఎం.జగన్మోహాన్ అధికారులను ఆదేశించారు., negative
neutral,"దేశంలో స్థూలంగా భావ స్వేచ్ఛమీద, పరువునష్టం కేసుల ద్వారా కాక ఇతరమార్గాలలో, జరుగుతున్న దాడులను న్యాయవ్యవస్థ గుర్తించవలసి ఉన్నది.", negative
neutral,"ఉత్తరకొరియాను బహువిధాలుగా బలహీనపరచి, అంతిమంగా ఇరాక్ మాదిరిగానే యుద్ధంతో ఆ ప్రాంతాన్ని తనగుప్పిట్లోకి తెచ్చుకోవడానికి రంగం సిద్ధం చేస్తున్నట్టు కనిపిస్తున్నది.", negative
positive,దీంతో జిల్లాలో వ్యవసాయాన్ని అభివృద్ధి చేయాలని ప్రభుత్వం నిర్ణయించుకుంది., negative
positive,అంటే ఇప్పటకే ఉన్న 6 పోస్టులలో కలిపి ఇపుడు 21 హార్టికల్చర్ పోస్టులు జిల్లాలో ఉండబోతున్నాయి., negative
neutral,ఈ క్రమంలో పలు పేర్లు ప్రస్తావనకు వచ్చాయి., negative
neutral,సిరియాలో అయితే ఈ కారణంగా 2011లో ప్రారంభమైన అంతర్యుద్ధం ఇప్పుడు కీలక దశకు చేరుకున్నది., negative
positive,"దాదాపు 1300 కేజీల బరువును అంతరిక్షంలోకి తీసుకుపోయి, అందులో 725 కేజీలున్న మన కార్టోసాట్ను, చెన్నై సత్యబామా యూనివర్సిటీకీ, పూనే ఇంజనీరింగ్ కాలేజీకి చెందిన రెండు ఉపగ్రహాలను, అమెరికా, కెనడా, జర్మనీ, ఇండోనేషియాలకు చెందిన మిగతా 17 ఉపగ్రహాలను కక్ష్యలో ప్రవేశపెట్టి పీఎసఎల్వీ తన ముప్పైనాల్గవ ప్రయాణాన్ని ఇలా విజయవంతంగా పూర్తిచేసింది.", positive
neutral,అప్పటికి ఎనిమిదేళ్ళుగా వారు చేస్తున్న పోరాట ఫలితం అది., negative
positive,"న్యాయమూర్తి తన తీర్పులో మహిళలకు సుదీర్ఘకాలంపాటు ఆస్తిహక్కు, యాజమాన్య హక్కు దక్కకపోవడానికి కొన్ని కారణాలను చెబుతూ, ఇప్పుడు మహిళల చైతన్యానికి సంబంధించీ, పెరిగిన అవకాశాల గురించీ ప్రధానంగా ప్రస్తావించారు.", negative
positive,"ఏటా 36 బిలియన పౌండ్ల ఆదాయాన్ని కోల్పోతూ ఆర్థిక సంక్షోభంలోకి జారిపోతుంది, అభివృద్ధి వేగం అమాంతం మందగిస్తుంది’ అని అధికారపక్షం ప్రజలకు నచ్చచెబుతున్నది.", negative
positive,"టెన్నిస్లో సానియా మీర్జా, క్రికెట్లో భారత మహిళా క్రికెటర్లు సువర్ణాక్షరాలతో లిఖించదగ్గ విజయాలను అందించారు.", positive
positive,పైగా ఏదైనా ఒకే అంశంపై త్రివిధ దళాలు పని చేయాల్సి వస్తే ఒకే సమాచారం మూడు కోణాల్లో సేకరించి విశ్లేషించుకోవాల్సి ఉంటుంది., negative
neutral,ముఖ్యపాత్ర అయిన పొన్న ఈ విధానంలో సంతానవతి కావాలా వద్దా అన్న తీవ్ర కుటుంబ సంఘర్షణకు ఈ నవల అద్దంపడుతుంది., negative
positive,"వైద్య,ఆరోగ్యశాఖ,రక్షిత నీటి సరఫరాల శాఖ,అంగన్వాడీ,పంచాయతీరాజ్,హౌసింగ్,ఏజెన్సీ విద్యాశాఖ,సమన్వయంతో పథకాన్ని అమలు చేయనున్నారు.", positive
positive,"రూ. 25 వేల రుణంపై 24 వాయిదాలు, 50 వేలు తీసుకుంటే రూ. 36 వాయిదాలు, రూ. లక్ష తీసుకుంటే 60 వాయిదాల్లో చెల్లించుకునే అవకాశం కల్పించారు.", negative
neutral,వచ్చే ఎన్నికల నాటికి 80 శాతం ప్రజలు తమ పార్టీతో ఉండాలని తాజాగా ఆయన ప్రకటించారు., negative
negative,"అలాగే, బీమా వర్తింపచేసే యూనిట్ విషయంలోనూ వివాదం మిగిలే ఉంది.", negative
neutral,ఇస్లామిక్ స్టేట్ ఉగ్రవాదుల అడ్డాగా మారి ఉన్న సిరియాతో సుదీర్ఘమైన సరిహద్దును ఆనుకుని ఉండటం వల్ల టర్కీలోకి ఇస్లామిక్ స్టేట్ ఉగ్రవాదులు ఎంతో సులభంగా ప్రవేశించేందుకు అవకాశం ఉంది., negative
neutral,అనంతరం జైత్రంతండా గ్రామంలోని పాఠశాలల్లో సోలార్ తాగునీటి ప్లాంట్ను ప్రారంభించారు., negative
neutral,పాకిస్తాన్ సైన్యం అండదండలతోనే అక్కడి ఉగ్రవాదులు తరచూ సరిహద్దులు దాటి భారత్లోకి అక్రమంగా చొరబడుతున్నారు., negative
positive,అధికారాన్ని పంచుకుంటున్న రెండు పార్టీలూ సమబాధ్యతతో ప్రజామోద పరిష్కారమార్గాలు అన్వేషించ తప్పదు., negative
negative,"ఈ దుర్ఘటనలో కుట్రలూ, వెన్నుపోట్ల ఊహాగానాలూ జోరుగా సాగుతున్నాయి.", negative
positive,వివిధ ప్రాంతాల నుంచి వచ్చే అర్జీలతో ప్రజల ఎదుర్కొంటున్న సమస్యలను తెలుసుకోవచ్చని అన్నారు., negative
neutral,"ప్రతి నెలాఖరు ఆదివారాన్ని ఇందుకు కేటాయించిన కారణంగా, గాంధీ వర్ధంతితో ముడిపడిన ప్రస్తావనలు కొన్ని ఆయన ఆ మరునాడు చేయవలసి వచ్చింది.", negative
neutral,"ఈ కమిటీ వివిధ విద్యాసంస్థలు, రాష్ట్రాల అధికారులు, జాతీయ సంస్థలతో విస్తృత సంప్రదింపులు జరిపింది.", negative
positive,ఇది వినడానికి మహాద్భుతమైన ఆలోచనగా ఉంది., negative
positive,"బీజేపీ నాయకుడు నితిన్ గడ్కరీ మీద ఆయన తీవ్ర ఆరోపణలు చేశారు. పరువు నష్టం కేసులు ఎదుర్కొంటున్న ఈ ముగ్గురూ వేర్వేరుగా, శిక్ష్మాస్మృతి 499, 500 సెక్షన్లను సవాల్చేస్తూ సుప్రీంకోర్టును ఆశ్రయించారు.", negative
neutral,మొత్తానికి ఈ పథకంలో కదలిక వచ్చింది., negative
positive,కులవ్యవస్థను సౌకర్యవంతంగా పక్కనబెట్టిన జాతీయోద్యమ ఎజెండాను సవాల్ చేసిన వ్యక్తి అంబేద్కర్., positive
positive,"దాదాపు 400 వందల ఇళ్లు సోదా చేసి వాహన పత్రాలు లేని 12 బైక్లు , 3 ఆటోలు సీజ్ చేశామన్నారు.", negative
neutral,అయితే ఇప్పుడు భారత్లోకి చొరబడిన ఉగ్రవాదులు ఎవరూ కూడా అక్కడ ఉండటం లేదట., negative
neutral,"లార్డ్ మెకాలే నూటయాభై అయిదేళ్ళ క్రితం రాసిన భారతీయ శిక్షాస్మృతిలోని 377వ సెక్షన, స్వలింగసంపర్కాన్ని జీవితఖైదు విధించేంత శిక్షార్హమైన నేరంగా ప్రకటించింది.", negative
neutral,"జిఎస్టి అమలులోకి వస్తే దేశవ్యాప్తంగా అన్ని వస్తువులు, ఉత్పత్తులు, సేవలపై 16 నుంచి 20 శాతం వరకు పన్ను ఉంటుంది.", negative
neutral,ఇప్పటికే శరణార్ధుల రూపంలో టర్కీలోకి ప్రవేశించిన ఇస్లామిక్ స్టేట్ ఉగ్రవాదులు లెక్కకు మించిన స్లీపర్ సెల్స్ను తయారు చేసుకుని ఉన్నారు., negative
neutral,కేవలం ప్రభుత్వం ఒక్కటే ఈ ప్రయత్నం చేస్తే లాభంలేదు., negative
positive,"అప్పారావు తన పదవికి రాజీనామా చేయడం కానీ, మరో పదవిలో చేరడం కానీ జరగలేదు కనుక, తన సెలవు ముగుస్తున్నప్పుడు తిరిగి విధుల్లోకి చేరాలనుకోవడం సాంకేతికంగా సబబే కావచ్చును.", negative
negative,అయితే దీనికి ఎవరి నుంచి ఎలాంటి స్పందన రాలేదు., negative
neutral,ఇంతకుముందు గుడిహత్నూర్ కేంద్రంగా పనిచేసిన హెచో పోస్టును ఇంద్రవెల్లికి మార్చి కొత్తగా ఇచ్చోడలో హెచో పోస్టులను నియమించారు., negative
negative,"దీంతో లారీ వెనకాల నుంచి వస్తున్న ద్విచక్ర వాహనం లారీ వెనకాల బలంగా ఢీ కొట్టడంతో వాహనం నడుపుతున్న నరేశ్ ఛాతికి, తలకు తీవ్ర గాయాలయ్యాయి.", negative
neutral,"ఎసెఫై రాష్ట్ర మహాసభలకు ముఖ్య అతిథులుగా ఎసెఫై అధ్యక్షుడు శివదాసన్, సీపీఎం మాజీ ఎమ్మెల్యే జూలకంటి రంగారెడ్డి, రాష్ట్ర మంత్రి జగదీష్రెడ్డి, ఎమ్మెల్సీ నాగేశ్వర్ రెడ్డి, డా.పల్ల రాజేశ్వర్రెడ్డి, డా.అందె సత్యం, ఎసెఫై మాజీ రాష్ట్ర అధ్యక్షుడు ఎస్ వీరయ్య పాల్గొంటున్నారని పేర్కొన్నారు.", negative
neutral,ప్రస్తుతం ఉన్న రాజకీయ వ్యవస్థను సమూలంగా మార్చివేయడం పేరిట రామ్వృక్ష్ యాదవ్ స్థానిక యువకులకు ఆయుధ శిక్షణ ఇస్తున్నాడు., negative
positive,"విద్యుత్ వసతి,పంటలను సాగునీరు,పక్కా గృహాలు,సౌకర్యాలను పూర్తిస్థాయిలో కల్పిస్తారు.", negative
neutral,"పార్లమెంటరీ కార్యదర్శి కోవలక్ష్మి, పురాణం సతీశ్, జిల్లా పరిశీలకుడు అక్బర్ మాట్లాడుతూ కేసీఆర్కు ప్రజల కష్టసుఖలు తెలుసుననీ, ఆయనతోనే ప్రజాసమస్యల పరిష్కారం సాధ్యమవుతుందని ధీమా వ్యక్తం చేశారు.", negative
neutral,పశ్చిమాసియాలో సిరియా వ్యూహాత్మకంగా చాలా కీలక స్థానంలో ఉంది., negative
neutral,"ఈ సందర్భంగా మంత్రులు మాట్లాడుతూ ఆదిలాబాద్ అన్ని జిల్లాల్లా కాదని, ఇక్కడ విధులు నిర్వహించాలంటే చాలా ఓపిక అవసరమన్నారు.", negative
neutral,"భారీయెత్తున దేవుడి విగ్రహాల నిమజ్జనం, నదీతీరాల్లోనే అంత్యక్రియల నిర్వహణ, పశు కళేబరాల్ని, కాలీకాలని మృతదేహాల్ని ప్రవాహ జలాల్లోకి తోసివేయడం, కుంభమేళాల లాంటి భారీక్రతువుల ముందూ తరవాతా సరైన పారిశుద్ధ్య చర్యలు చేపట్టకపోవడం లాంటివి భారతీయ నదుల్ని మురికి కాలువల స్థాయికి దిగజారుస్తున్నాయి.", negative
negative,ఇది అక్కడి భద్రతాదళాలకు ప్రధాన సమస్యగా మారింది., negative
neutral,పోయేదీ గానీ ఏమీ వుండదు., negative
positive,"మంచిర్యాల డివిజన్ ఫ్లయింగ్ స్కాడ్ డీఎఫో రవిప్రసాద్,నిర్మల్ డివిజన్ ఫ్లయింగ్ స్కాడ్ డీఎఫో జి రవీందర్ మెదటి రోజు అటవీశాఖ చట్టాలు,వన్యప్రాణుల వేట,అక్రమ కలప ర వాణా,అరికట్టడంపై వివరించారు.", negative
neutral,అనంతరం కార్యాలయం ఎదుట ధర్నాకు దిగారు., negative
negative,గిరి ప్రగతిపై ప్రతి 3 నెలలకోసారి జరగాల్సిన ఐటీడీఏ పాలకవర్గ సమావేశం 17 నెలలుగా జాడలేకుండా పోయింది., negative
neutral,‘ఈజ్ ఆఫ్ డూయింగ్ బిజినెస్’ విధానంలో పరిశ్రమలకు అనుమతులిచ్చే కాలపరిమితిని 21 రోజుల నుంచి 14 రోజులకే కుదిస్తున్న ప్రభుత్వం ఈ ప్రాంతాలకోసం ప్రత్యేక విధానాన్ని అమలుచేయవలసి ఉంది., negative
neutral,గత కొద్ది కాలంగా ఇస్లామిక్ రాడికల్స్ అనే సంస్థ ఒకటి ఫ్రాన్స్లో చురుకుగా పని చేస్తున్నది., negative
negative,"అయితే, ఈ సమావేశం చైనా ఒక్కటే భారతకు మోకాలడ్డుతున్న విష యాన్ని స్పష్టంగా తేల్చింది.", negative
negative,మోదీ ప్రభుత్వం ఎఫ్డీఐ పాలసీ ప్రకటనకు రాజన్ తక్షణ కారణం కాకపోవచ్చు కూడా., negative
negative,తనకు నామినేషన్ దక్కకుండా కుట్రలు పన్నితే రక్తపాతమేనని రెండునెలల ముందే హెచ్చరించాడు., negative
positive,ఈ సందర్భంగా ఎస్పీ మాట్లాడుతూ పోలీస్స్టేషన్లో ఫిర్యాదులు ఇవ్వడానికి వచ్చిన మహిళలపై గౌరవప్రదంగా ఉండాలని సూచించారు., negative
positive,రాత్రి 12 గంటలకు దుకాణాలు మూత పడాల్సిందే., negative
neutral,"కులవ్యవస్థ శ్రమవిభజన మాత్రమే కాదని, అది శ్రామికుల విభజన కూడా అనీ, ఒకే కుల అస్తిత్వంలో వర్గవిభజనలు, ఒకే వర్గం వారి నడుమ కుల విభజనలు ఉంటాయనీ ఆయన చేసిన సూత్రీకరణలు భారత దేశ సామాజిక విప్లవానికి గొప్ప సైద్ధాంతిక చేర్పు.", positive
neutral,"అలాగే, మహిళను ఉమ్మడి కుటుంబ కర్తగా నిర్థారించలేమని కూడా వ్యాఖ్యానించింది.", negative
