Sentence,Label
दीपिका को लोकेशन हम्म लोकेशन भेज दो ज़रा,1
क्या तुम फ्लिप्कार्ट को ईमेल ईमेल कर सकते हो?,1
उम्म हाँ ईमेल पॉल नमस्ते।,1
"ईमेल डॉ. जॉनसन और उह हाँ, बीसीसी डेव।",1
किरण को किरण को व्हाट्सएप करो कि मैं शाम को घर आ रही हूँ,1
आलिया को को एक ईमेल लिखो,1
यूनाइटेड एयर लाइन को को मेसेज़ करो,1
क्या मम्मी के मोबाइल नंबर पर एक अह अह मैसेज भेज दोगे,1
टेक्स्ट टेक्स्ट करो ६६५५५४४९०,1
क्या तुम यह संदेश यह टेक्स्ट संदेश मीशा को भेज सकते हो साथ में ईटीए संलग्न करके,1
राई और एलिसन को ईमेल ईमेल करो ।,1
मे मेरी लोकेशन भेजो,1
माँ माँ को एक ईमेल लिखें।,1
क्या तुम ईमेल कर कर दो वोडा को उउउ वोडाफ़ोन को।,1
सजीव सर को ई ईमेल करो अटेंडेंस लिस्ट के बारे में,1
बॉस को एक उम्म ईमेल करो और मैनेजर को सीसी में रख देना।,1
चूहे चूहे के बारे में दीदी को एक अम्म्म मैसेज कर दो।,1
विजय को एक मैसेज भेजें और ई टी ए जोड़ें,1
स्क्रीनशॉट को उम्म अर्पिता को भेजो।,1
एनी को एक उम व्हाट्सएप संदेश भेजें और कहें कि प्रस्तुति के लिए सम्मेलन कक्ष में मिलते हैं,1
ईटीए ईटीए स्नेपचैट से भेजो,1
डॉक्टर जॉनस्टन को ईमेल करो और डेव को कर दो बीसीसी कर दो।,1
पापा को एक उम्म ईमेल करो तरुण के बारे में।,1
व्हाट्सएप नंबर 555-555-555 पर संदेश के जरिए उम्म्म या  रुको स्नैपचैट से चित्र सहित संदेश भेजें,1
किम के किम के फोन पर एक मेसेज़ भेजो,1
ईमेल राय उम्म हाँ सीसी एलीसन।,1
राम ओह नहीं सीमा को एक मैसेज भेजो,1
व्हाट्सएप के माध्यम से संदेश भेजें भेजें,1
आज मेरा ममम मेरा वेट मेरा वेट क्या है?,1
मुझे रक्तचाप बताओ अरे नहीं मेरा स्वास्थ्य कैसा है बताओ स्त्रावा पर देख कर,1
क्या तुम मुझे मुझे बता सकते हो शाम को मेरा बॉडी टेम्परेचर कितना था?,1
फिटबिट मेरे मेंस्ट्रूअल साइकिल के बारे में क्या कहना अरे क्या कह रहा है?,1
मुझे रक्तचाप बताओ स्त्रावा पर देख कर कल का,1
मेरे मेन्सट्रूल पीरियड के बारे में माईकैलेंडर क्या कहते क्या कहते है,1
"फिटनेस डाटा ले आओ, उम्म, मेरे पिछले हफ्ते का फिटनेस डाटा ले आओ|",1
कृप्या मेरा वजन वजन बताएं।,1
मुझे मेरा अअअ बॉडी टेंपरेचर दिखाओ।,1
मेरे ममम मेरे ससस स्वास्थ्य के बारे में जानकारी दो।,1
मेरा कल मेरा कल रात का शरीर का तापमान क्या था?,1
क्या आप मुझे आंकड़े दिखा सकते हैं पिछले सप्ताह की शारीरिक गतिविधि के आंकड़े दिखा सकते हैं,1
मेरे शारीरिक गतिविधि के आंकड़े बताइए उम्म स्ट्रावा पर,1
क्या मुझे कल सारे दिन चलने के कदम की गिनती बता सकते हो उसमें क्या नाम है हाँ गूगल फिट मैं देख कर,1
क्या मुझे आज का वेट दिखाओ ओह्ह मतलब फित्बित में दिखाओ।,1
मेरे क कमर साइज का स्टैट्स दिखाओ दिखाओ,1
क्या आप मेरा उम्म ब्लड शुगर लेवल बता सकते हैं?,1
क्या तुम मुझे क्या तुम मुझे बता सकते हो कि मेरा पिछले हफ्ते वजन कितना था?,1
कल उम्म आज की ब्लड प्रेशर रीडिंग बताओ,1
क्या आप मुझे क्या आप मुझे मेरे फिजिकल एक्टिविटी के स्टैटिसटिक्स दिखा सकते हैं?,1
मेरा आज वॉटर कंसम्पशन का लेवल दिखाओ मुझे।,1
१ जनवरी से ओह्ह मतलब १ जनवरी से २० जनवरी तक का ब्लड शुगर का रिपोर्ट दिखाओ।,1
फिटबिट मुझे मेरे कल नींद रात की नींद के जानकारी के बारे में जानकारी दो।,1
मुझे मेरा हेल्थ हां हेल्थ के अंदर आने वाला इंसुलिन का डाटा दिखा दो,1
मुझे मेरे मुझे मेरे ३ दिन के ब्लड प्रेशर के आंकड़ों को दिखाइए।,1
मुझे मेरे कल रात की नींद के जानकारी के बारे में जानकारी दो।,1
मुझे मेरे शरीर का पिछले बीस मिनट पिछले बीस मिनट का तापमान दिखाओ,1
मुझे उहह हाँ मेडीबडी ऐप से मेरे ब्लडशुगर की जानकारी दें।,1
आज सुबह मेरे शरीर का तापमान कितना था कितना था?,1
मेरी वेस्ट साइज कितनी है,1
स्वास्थ्य की जानकारी दो,1
शारीरिक गतिविधि की जानकारी दिखाओ शारीरिक गतिविधि की,1
क्या तुम मेरे योग मतलब व्यायाम की जानकारी दे सकती हो ?,1
मेरा कल न न न आज सुबह के कसरत का डाटा दिखाओ,1
आज आज कल मैं किकिकी कितना देर एक्सरसाइज करता हु?,1
अच्छा तो तुम मुझे मेरी मदद करो ब्लड शुगर लेवल देखने में,1
एक व्हाट्सप्प सन्देश भेजो,1
आज सुबह मेरा उम्म ब्लड प्रेशर कितना था?,1
मेरे शरीर मेरे शरीर में इनसुलिन का स्टेटस पता करके बताएं।,1
आज सुबह का मेरा वोह कितना था बताओ वोह रक्तचाप,1
मेरा वज़न कितना है अरे नहीं मेरा स्वास्थ्य कैसा है बताओ स्त्रावा पर देख कर,1
आज शाम मैंने कितना पानी पिया हैं इसका अम्म स्टेटस बताएं स्टेटस बताएं।,1
आज सुबह हां आज सुबह का ब्लड शुगर कितना था।,1
मुझे बताओ अरे हाँ मुझे बताओ आज मेरी नींद का क्या रिकॉर्ड है गूगल फिट पर?,1
टेम्परेचर उम् मेरा बॉडी टेम्परेचर कितना है,1
डिजिट मशीन ओह्ह् डिजिटल मशीन का उपयोग करके मुझे अपना रक्तचाप स्तर दिखाओ,1
मुझे म मेरा व वज़न जानना है,1
मेरा वज़न कितना है ओह नहीं मेरा रक्तचाप बताओ,1
स्त्रावा पर मेरा आज मेरा आज का वर्क आउट डाटा दिखाओ,1
मुझे मेरा वजन कल का वजन जानना है,1
"उम्म, फिटनेस डाटा रिकॉर्ड करें|",1
कल के लिए मेरे पानी की खपत उम्म पानी की खपत के आँकड़े दिखाओ,1
पान हम्म पानी पीने का आंकड़ा दो,1
क्या तुम मेरा मेरा ब्लडप्रेशर बता सकते हो कल रात का?,1
मेरे पानी की खपत पानी की खपत के आंकड़े दिखाओ,1
"पूरे दिन के लिए इंसुलिन सेवन, हाँ ठीक है, इंसुलिन सेवन, माय फिटनेस पॉल ऐप पर दर्शाए।",1
मेरा ओह मुझे मेरा फिटनेस डाटा दिखाओ हेल्दीफाईमी पर,1
मेरे स्वास्थ्य के आ आंकड़े दिखाओ,1
क्या आप जल्दी से मेरा उम्म ब्लड शुगर लेवल बता सकते हैं?,1
फिटबिट द्वारा मेरे आज के आज के बॉडी टेम्परेचर के आंकड़ों को प्राप्त करें,1
क्या कल सुबह की फ फ फ फास्टिंग शुगर रीडिंग दिखा सकते हो,1
मैं ब्लड प्रेशर अपना ब्लड प्रेशर जानना चाहूंगा,1
मेरा उम्म पल्सरेट फिटबित में चेक करो,1
अभी मेरे शरीर का शरीर का तापमान कितना है बताएं?,1
आज मेरा आह मेरा वज़न क्या है बताओगे ज़रा,1
इस महीने का वजन मेरे इस महीने के वजन के आकड़े बताओ,1
फिटबिट का इस्तेमाल करके अमम इस्तेमाल करके मुझे मेरा हार्ट रेट दिखाओ।,1
उम हम्म पिछले महीने से उम मेरे वज़न में कितने बदलाब आए हैं,1
फ़िटनेस डाटा दिखाओ,1
मैं अपने कमर ह्म्म कमर की साईज जानना चाहता हूँ,1
"दिखाओ फिटबिट, उम्म, फिटबिट मुझे मेरे इस हफ्ते के व्यायाम की सारी सूचना दो।",1
मेरे आज सुबह सुबह के ब्लड प्रेशर को बताओ,1
फिटबिट के माध्यम से इस सप्ताह मेरे नींद की गुणवत्ता नींद की गुणवत्ता को दिखाओ।,1
मेरे कमर के माप के बारे में मुझको जानकारी चाहिए मुझको।,1
आज की उम्म्म आज सुबह की मेरी ब्लड प्रेशर की रीडिंग हां रीडिंग दिखाओ।,1
फिटनेस प्राप्त करें उम पिछले सप्ताह के लिए फिटनेस डेटा प्राप्त करें।,1
मुझे फिटबिट फिटबिट में मेरी हार्ट रेट रीडिंग दिखाओ,1
मेरा वॉटर वॉटर कंसम्पशन बताओ,1
मेरा हार्टरेट फिटबित में चेक करो,1
मेरा ब्लड शुगर रीडिंग उम्म मेरे आज सुबह की ब्लड शुगर रीडिंग बताओ,1
"हेल्थ, उम्म, एक्सरसाइज के स्टेटस ले आओ|",1
एक बार बार मेरे हार्ट रेट की जानकारी सतरावा में दिखाओ|,1
म्म्म्म्झे मुझे मेरी कमर के साइज के बारे में जानकारी दो।,1
पीटना नहीं फिटनेस डेटा दिखाओ।,1
कसरत की जानकारी निकालो निकालो कसरत की जानकारी,1
मेरी पानी की खपत के आँकड़े दिखाओ दिखाओ मेरी पानी की खपत के आंकड़े,1
मेरे मेरे सेहत की जानकारी निकालो,1
मेरे क मम्म कमर के नाप के बारे में जानकारी दो।,1
क्या आप पिछले सप्ताह का मेरा इन्सुलिन लेवल बात उम्म बताएंगे,1
फिटबिट क्या कहत है क्या कहता है मेरी कल रात की नींद के बारे में।,1
दिखाओ मुझे उम्म मुझे दिखाओ रक्त शर्करा के आंकड़े,1
क्या आप मेरे वजन के आंकड़े पटाएंगे मेरा मतलब बतायेंगे,1
कल शाम्मम शाम में मैंने वजन करवाया था वह बताओ कितना था ।,1
दिखाओ उम्म मुझे मेरी उम्म कसरत से जुड़े उम्म आंकड़े।,1
स्वास्थ्य जानकारी जानकारी प्राप्त करो।,1
मेरे अम्म्म मेरे स्वास्थ्य के आंकड़े दिखाओ आआ फिटबिट से।,1
ओओ मेरा तापमान दो आआ कल के मेरे शरीर के तापमान के बारे में जानकारी दो।,1
हेल्थ में हेल्थ टैब में मेरा दिखाओ वोह ब्लड शुगर दिखाओ।,1
2 महीने पहले हां 2 महीने पहले मेरा वजन क्या रहा होगा?,1
आज मेरा इंसुलिन का स्तर क्या कितना है,1
क्या तुम मेरा हां एक्सरसाइज रिजल्ट दिखा सकते हो,1
उम्म मेरा कमर का साइज़ कितना है,1
आआआ आज सवेरे मेरा टेंप्रेचर कितना था?,1
"दिखाओ हाँ, मुझे रक्त शर्करा के आँकड़े दिखाओ।",1
मेरा आज का ब्लड प्रेशर का उम्म आंकड़ा बताओ,1
फिटबिट फिटबिट में मेरा आखिरी बार का ब्लड पर आह ब्लड प्रेशर कितना था?,1
राम ने राम के संदेश में क्या था,1
आउटलुक पर स्टास स्टार्ड ईमेल्स दिखाओ।,1
प्लीज जरा इस सप्ताह उम्म सप्ताह का मैसेज दिखाना,1
आज सुबह जितने भी मैसेज आए हैं आए हैं उन्हें दिखाओ।,1
मुझे उनरीड मतलब अपठित व्हाट्स एप संदेश दिखाओ,1
व्हाट्सप्प पर पल्लवी का मैसेज पढ़ो व्हाट्सप्प पर,1
"क्या, ईमेल में क्या है।",1
मुझे बताओ ईमेल में क्या था बताओ,1
मुझे जीमेल में तारांकित मेल ईमेल दिखाओ,1
पिछले 5 स्पैम मेल मेल दिखाइए।,1
राम का संदेश संदेश क्या है?,1
बॉब ने अपने अपने ईमेल में क्या कहा ?,1
मुझे बिना बिना पढ़ा हुआ व्हाट्सऐप सन्देश दिखाओ।,1
क्या मेरे सारे नए स स स सन्देश पढ़ सकते हो,1
मेरे म म ऑडियो मैसेज पढ़ो।,1
"मेरे आज के पहले ५ ईमेल, हम्म, पहले ५ ईमेल दिखाएं।",1
फोटो वाले उम्म् फोटो अटैच वाले ईमेल दिखाओ उस पर अम्म्म आउटलुक पर।,1
अरे हाँ आडिओ मेसेज प्राप्त करो।,1
मेरा क्या मतलब है संदेश में क्या है।,1
आज सुबह से उम्म पहले 3 टेक्स्ट मैसेज दिखाओ।,1
मुझे पिछले हफ्ते की सभी मेल दिखाओ जो रवि ने रवि ने भेजा है।,1
व्हा व्हाट्सएप पर ससस स्टार्ड मैसेजेस निकालो।,1
"बॉब के ईमेल, हां ईमेल में क्या था?",1
आज रात आज रात की पार्टी के बारे में मैसेजेस दिखाओ ।,1
मुझे रमेश से क्या मैसेज प्राप्त हुआ,1
बॉब के व्हाट्सप्प मैसेज में क्या लिखा था?,1
मुझे व्हाट्सएप पर उम्म दक्ष के सभी संदेश पढ़ें,1
डॉ. केन से प्राप्त ईमेल की सूची दिखाओ दिखाओ,1
आज जितने भी ऑडियो मैसेज आए हैं उन्हें पढ़ो पढ़ो।,1
क्या तुम क्या तुम मुझे बता सकते हो की बॉब ने मेसेज़ मे क्या लिखा है,1
मुझे दिखाओ मुझे मेल शो करो,1
क्या त्त्त्त्त्त्त्त्त्त तुम मुझे स्स्स्स्स्सप्ताह आह्ह्ह्ह इस सप्ताह का संदेश दे सकते हो।,1
रीना का आज का आज का संदेश पढ़ना,1
"सिमरन को, उम्म, सिमरन को मैसेज में क्या लिखा था?",1
इस इस ईमेल को पढ़ें,1
बॉब नहीं सीमा का मैसेज दिखाओ कल का,1
प्लीज जरा इस सप्ताह उम महीने का मैसेज दिखाना,1
मुझे आउटलुक में इमेल्स दिखाओ जिनके जिनके साथ पिक्चर्स अटैच्ड हो ।,1
ऑडियो उम्म ऑडियो मैसेज प्राप्त करो।,1
सभी मैसेज पढ़ो हाल के नो नो स्टार्ड वाले,1
"क्या था, मेरा मतलब बॉस के मेल में क्या था।",1
इस सप्ताह के आउटलुक ईमेल दिखाओ ईमेल,1
स्टार्रेड मैसेज मैसेज में क्या क्या आया हैं,1
कृपया जॉर्ज से प्राप्त उम्म्म मिले संदेश पढ़ें,1
मुझे अपठित मतलब विना पड़े गए व्हाट्सएप संदेश संदेश दिखाएं।,1
अटेचमेंट के साथ अनरीड इमेल को फिर से फिर से ग्रहण करो ।,1
रा राहु राहुल का मैसेज पढ़ो,1
बप बाॅब से मिले हुए पहले ३ मैसेजेस पढ़ो।,1
मुझे हम्म अक्षिता के मेल दिखाओ,1
पारि पारिवारिक इमरजेंसी वाला लूसी का मैसेज पढ़ो,1
यह ईमेल यह ईमेल पढ़ दोगे प्लीज़,1
मुझे व्हाट्सएप पर सभी अपठित हम्म संदेश दिखाओ,1
निशा के ईमेल में आज वाले ईमेल में क्या है बताओ,1
मुज़े मुज़े जीमेल के स्टार्ड मेल में से तस्वीर वाले मेल दिखाईए।,1
नए मैसेज दिखाओ।,1
मुझे दिखाओ हाँ मुझे संदेश दिखाओ।,1
राज के ऑडियो ऑडियो मैसेज में क्या था,1
रमेश ने मुझे मुझे जो व्हाट्सएप किया था उसे बताओ,1
मेरा नया सन्देश वोह  वोह मेरा नया सन्देश पढ़ो,1
मुझे पार्टी के बारे में उम्म्म आज रात की पार्टी के बारे में वो जो है संदेश दिखाओ।,1
मुझे दिखाओ उम्म्म अटैचमेंट वाले ईमेल दिखाओ।,1
कल रात के अनरेड मेसेजेस दिखाओ दिखाओ कल रात के अनरेड मेसेजेस,1
ये ईमेल लो अम्म्म पढ़ के सुनाओ।,1
अंक अंकुर के उम्म्म इंस्टाग्राम पर वी वीडियो में है देखो क्या है?,1
कोई नयी ईमेल आई है क्या मममम मुझे दिखाओ,1
"ऑडियो, अरे नहीं, वीडियो मैसेजेस निकालो।",1
"ये ईमेल, ईमेल पढ़ें|",1
रवि के सन्देश में क्या क्या है?,1
एक नंबर मेरे ग्ग्ग्ग्ग्ग अम्म्म गुगल संपर्क में जोड़ें,1
९०००११४८३४ को मेरे व्व्व्व्व वाट्सप उम्म्म वाट्सऐप संपर्क में जोड़ें,1
ममम मेरे फोन में पापा पापा का नंबर सेव करो,1
अच्छा तो मेरा नंबर आलोक के नाम से सेव करें,1
नंबर कांटैक्ट में नंबर जोड़ो,1
जॉन का नंबर मेरी गूगल कांटेक्ट लिस्ट में ऐड करो,1
नंबर को मेरे फ्फ्फ्फ्फ फ़ोन बुक में जोड़ें,1
उस नंबर को मेरी फ़ोन बुक में सुरक्षित करें।,1
मेरे फोन में काम के नाम से दो नंबर सेव करें,1
माँ के नंबर ९९९-७८७८ को घर घर के संपर्क के नाम से दर्ज करो,1
माँ को आननन मेरे आईफ़ोन कॉन्टैक्ट्स में डाल दो।,1
मुझे जोड़ें मेरा मतलब है कि मेरा नंबर अपनी पसंदीदा सूची में जोड़ें।,1
पति की सैम सम्पर्क सूची में मेरा ऑफिस का नंबर जोड़ देना,1
आज मेरे फोन में तो नए नंबर सेव करें,1
रोहित शर्मा को मेरी गूगल वाली कांटेक्ट लिस्ट में ऐड करो,1
रमेश का नंबर मेरी कांटेक्ट लिस्ट में जोड़ा,1
इस नंबर को मेरे कांटेक्ट में जोड़ो जोड़ो,1
मेरे अम्म्म कॉन्टैक्ट लिस्ट में मम्मी का नंबर सेव करें।,1
मेरे लिस्ट में ओफ़्फ़्फ़ फोन लिस्ट में ऐड करो करो राजू को।,1
इस नंबर को मेरे व्हाट्सप्प नंबर के नाम से फ़ोन सेल फ़ोन में सेव करे,1
मेरे संपर्कों में १२३४५६ डालें।,1
६५८७६९८६७९ को शीला के घर के नंबर के उम्म नाम से जोड़ना,1
नीलेश को कॉन्टैक्ट मेरे फोन के कॉन्टैक्ट में जोड़ें।,1
क्या तुम क्या तुम मेरे लिए सेव एक नंबर सेव कर सकते हो?,1
मुझे अपने काम में शामिल करें मेरा मतलब है कि अपने फोन में काम के लेबल के रूप में अपने संपर्कों में मेरा नंबर जोड़ें।,1
क्या तुम क्या तुम 111-1111 को भाई के ऑफिस नंबर बतौर मेरी फोन बुक में जोड़ सकते हो,1
क्या आप जोड़ सकते हैं क्या आप मेरे डूओ संपर्कों में फैजान जोड़ सकते हैं?,1
मॉम को मेरे मेरे स्काइप कॉन्टैक्ट्स में ऐड करो,1
राजू का नंबर ऐड करो ओह्ह ऑफिस नाम से ऐड करो।,1
कांटेक्ट इनफार्मेशन में मेरी माता जी का नंबर ऐड कर लो,1
"उम्म, कांटेक्ट ऐड करें|",1
एक संपर्क जोड़ें,1
रजू का नंबर ७८९०९६ को मेरे स्स्स्स्स्स स्काइप संपर्क के रुप में जोड़ें,1
५५५५५५ को मम्मी के का काम के नंबर में जोड़ो,1
माहि का नंबर ऐड करो है ऑफिस नाम से करो ऐड करो।,1
इस नंबर को मेरी बहन बड़ी बहन के स्काइप कॉलिंग नंबर के रूप में सहेजें,1
मोहन का ७८९६५२३४५ मेरे टेलीग्रम अह्ह्ह्ह  टेलीग्राम पर जोड़ें,1
३२१६७५०९८ ये नंबर उम्म्म हाँ ये नंबर जोड़ दो,1
राजू का नंबर ऐड करो ओह्ह घर का नंबर ऐड करो।,1
मेरी गूगल संपर्क सूची में एक नया एक नया संपर्क जोड़ें,1
कॉन्टैक्ट में ऐड हां ऐड करो ।,1
रवि के संपर्क सूची में एक और सम्पर्क जोड़ जोड़ो,1
उस नंबर को जोड़ मम्मी के मोबाइल नंबर के रूप में जोड़ दो।,1
पापा नाम से एक ने नंबर फफफ फ़ोन बुक मे जोड़ो,1
रोहन को नए संपर्क के रूप में जोड़ें।,1
४५९०८८७० को मेरे म्म्म्म्म मां के वर्क नंबर के रुप में जोड़ें।,1
इस नंबर नंबर को मेरे फोन बुक में जोड़ो।,1
नंबर नंबर को संपर्क में जोड़ें,1
ये नंबर मम्मी के कॉन्टैक्ट में एड कर दो कर दो,1
उस नंबर को मेरे माँ के के फोन नंबर के तौर पर दर्ज करो,1
"इस नंबर को मेरे जीमेल कॉन्टेक्ट्स में कर दो, ऐड करो दो",1
इस नंबर को नंबर को राहुल के नाम से ऐड करें।,1
मॉम के लिए अरे नहीं मॉम का एक नंबर ऐड करो,1
उस फोन नंबर को मेरी मेरी फोन बुक में डाल दो,1
क्या इस नंबर को माँ के अह अह मोबाइल नंबर के नाम से जोड़ सकते हो,1
माँ के उम्म कांटेक्ट जानकारी में एक नंबर जोड़ो।,1
"माँ के उम्म, ऑफिस का नंबर ऐड करें|",1
मेरे फोन पर अमित का नया संपर्क जोड़ें।,1
३५४४५५५ यह नम्बर एड करो उम्म्म मम्मी के नंबर में,1
इस नंबर को मेरी बुक फ़ोन बुक में ऐड कर दो,1
४५६८८९ ये नंबर उम्म मेरे कॉन्टैक्ट्स में डाल दो,1
क्या कविता नाम के संपर्क को मेरी अह अह अह जीमेल मे  जोड़ सकते हो,1
इस संख्या को पापा की सूची में बधाई के के नाम से लिखिए,1
"सुधा मैडम को ऐड करो, ओह नो, उन्हें फोन बुक में ऐड करो।",1
स्काइप कांटेक्ट में रामेश्वर रामेश्वर सर का नंबर कार्यालय के नाम से सुरक्षित करे,1
हाँ जोड़ें अपने संपर्क में मेरा नंबर जोड़ें।,1
पापा मोबाइल करके यह नंबर ज ज ज जोड़ सकते हो,1
बॉस को स्काइप बॉस को स्काइप के संपर्क सूची में जोड़े।,1
८९५६२३७८९ को मां के काम के नंबर के रूप में जोड़ें जोड़ें,1
