disfluent,label,pred_label
"फिर दो साल वहाँ रहे और उसकी बाद एक नाटक देख लिया हमने
","फिर दो साल वहाँ रहे और अ उसकी बाद एक नाटक देख लिया हमने
"," then two years there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then one year there, and then"
"और हमने कहा ईयार यहि तो हे जो हमें करना था जीबन में
","और हमारे हमने कहा ईयार यहि तो हे जो हमें करना था जीबन में
", and we said eerie this is what we had to do in life
"मतलब मेरे मोहल्ले में जो तीवारि जी थें
","मतलब मेरे मोहल्ले में जो जो तीवारि जी थें
", meaning my neighborhood
"जो अगल बगल के केरक्टर थें उह फ़ेटांस्टिक लोग थें
","जो अगल अगल बगल के केरक्टर थें उह फ़ेटांस्टिक लोग थें
", which is the opposite of a character
"मैं जब उनके सामने रहता हूँ तो हमेसा मुझे लगता है यह जो दुरी है और यही दुरी का मेरा संघर्ष एक लिखे में भी है
","मैं जब उनके सामने रहता हूँ तो हमेसा मुझे लगता है यह जो दुरी है और यही दुरी का मेरा संघर्ष एक लि लिखे में भी है
", when I was a kid I used to think that the world was flat
"जब मैं लिफ्ट में बैठा मेरेको लगा यह तो मैंने देखाहि नही
","जब मैं लिफ्ट में बैठा मेरे मेरेको लगा यह तो मैंने देखाहि नही
", when I was in the elevator I felt that I had seen it before
"तो उह जो आश्चर्य है बहुत लेट हुयें सब
","तो उह जो उह जो आश्चर्य है बहुत लेट हुयें सब
",ughhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh can be used to make a variety of
"मुझे यह बात अभी अच्छि भी लगति है कि लेट शुरु हुया तो कमसेकम वो जरुरत थी और वो आया
","मुझे यह बात अभी अच्छि भी लगति है कि लेट शुरु हुया तो कमसेकम वो उस जरुरत थी और वो आया
", I think this is a good idea.
"मुझे जो चिजमे मंजा नही आता मैं उह करहि नही पाता हूँ
","मैं जो चिज़ मुझे जो चिजमे मंजा नही आता मैं उह करहि नही पाता हूँ
", I don't know what to say.
"और फिर काहानिया लिखना शुरु किया
","और अ फिर काहानिया लिखना शुरु किया
", and then kahaani started
"मुझे याद आ रहा था जब आप पहली नाटक के बारे में बोल रहे थें
","मुझे याद आ रहा था अ अ जब आप पहली नाटक के बारे में बोल रहे थें
", when you first spoke about the play
"मेरा एक साथी अडियेन्स में बैठा था सुधीर
","मेरा एक साथी अडियेन्स में बैठा था अ अ सुधीर
", my friend sat in the restaurant
"पर ये जो दोहरा जीबन होता है यह मुश्किल होता है
","अ अ म पर ये जो दोहरा जीबन होता है यह अ अ मुश्किल होता है
", this is a difficult life
"मैं शायद पैसे कनसिव नहीं कर पाता हूँ
","मैं मैं अ शायद पैसे कनसिव नहीं कर पाता हूँ
", I probably can't understand money.
"मैंने ना बहुत बेहतरिन दिन वहाँ गुजारी
","मैंने मैंने मैंने ना बहुत बेहतरिन दिन वहाँ गुजारी
", I went to the market today.
"हम जब तिन लोग चार लोग चॉल में रहते थे और बाथरुम के लिये लाईन लगाके जाते थे
","हम हम हम जब तिन लोग चार लोग चॉल में रहते थे और बाथरुम के लिये लाईन लगाके जाते थे
", when we were three people and four people
"भीड़ में रह कर अकेलेपन कि कल्पना हमेसा सुख देती है
","भीड़ में रह कर अकेलापन अकेलेपन कि कल्पना हमेसा सुख देती है
", भीड़ में रह कर अकेलेपन कि कल्पना हमेसा सुख देती है
"लेकिन मैं पुरा हिल गया था
","लेकिन मेरा मैं पुरा हिल गया था
", but I was completely shaken
"मतलब मुझे अभि भी याद है कि यह वसाहि था जैसे जब मैं बारमुला में अपने घर गया था
","मतलब अ अ मुझे अभि भी याद है कि यह वसाहि था जैसे जब मैं बारमुला में अपने घर गया था
"," meaning I remember this place too, like when I went to Barmula"
"जैसे मैं जब प्राग गया था
","जैसे मैं जब अ अ प्राग गया था
", like I went to Prague
"तो आपने स्पोर्ट्स अथॉरिटी ऑफ इंडिया तकका बाताया उसके बाद फिर क्या हुया
","तो अ अ म आपने स्पोर्ट्स अथॉरिटी ऑफ इंडिया तकका बाताया उसके बाद फिर क्या हुया
", then I went to the market
"मुझे लगा यार इससे बुरा जीबन और क्या होगा
","मुझे लगा यार ये इससे बुरा जीबन और क्या होगा
", I felt like this was the worst thing that could happen.
"यह जो बोम्बई जाना एक बहुत बड़ा अध्याय है
","यह जो यह जो बोम्बई जाना जो एक बहुत बड़ा अध्याय है
", this is a very big chapter
"तो वो एक अजीब सा पागलपन होता है
","तो वो वो एक अजीब सा पागलपन होता है
", that was a weird thing
"मतलब हम कीसी और को नही दे सकते थे
","मतलब हम अ कीसी और को नही दे सकते थे
", we can't give any more
"हं मैं विवेकानंद माध्यमिक विद्यालय में पहले पढ़ा था
","हं मैं अ क्या है कि हम मैं विवेकानंद माध्यमिक विद्यालय में पहले पढ़ा था
", हं मैं विवेकानंद माध्यमिक विद्यालय में पहले पढ़ा था
"यह तो भवानी बाई की हैं
","यह तो यह तो भवानी बाई की हैं
", this is the beach
"तो यह है स्कुल
","तो यह है अ स्कुल
", this is school
"तो उह एक परिवार है जिसको मैं कभी कभी दो एकदिन के लिये जाता हूँ
","तो उह एक परिवार है जिसमे जिसको मैं कभी कभी दो एकदिन के लिये जाता हूँ
",ugh a family is a family
"मुझे लगता है कि यात्रा के बारे में और यात्रा में बने रहे
","मुझे लगता है कि यात्रा के बारे बारे में और यात्रा में बने रहे
",旅行中
"क्या प्रोबोकेशन क्या था वहाँ जाने का
","क्या क्या प्रोबोकेशन क्या था वहाँ जाने का
", what was the purpose of the visit there
"चूंकि मेरे एक मेमोरिका प्रोबलेम हैं मैं भुल जाता हूँ कि मैंने क्या लिखा हैं
","चूंकि अ मेरे एक मेरे एक मेमोरिका प्रोबलेम हैं मैं भुल जाता हूँ कि मैंने क्या लिखा हैं
", चूंकि मेरे एक मेमोरिका प्रोबलेम हैं मैं भुल जाता हूँ कि मैंने क्या लिखा हैं
"रातको मैं वहाँ से उतरा
","रातको मैं मैं वहाँ से उतरा
", रातको मैं वहाँ से उतरा
"मेरा जन्म जो हुया गगां हासपताल दील्ली
","मेरा अ जन्म जो हुया गगां हासपताल दील्ली
", my birth place is hospital
"माई फ़दार तो पहले कश्मीर में थे फिर एलाहाबाद में थे तो पुरा मेरा फ़ादारका देहान्त एलाहाबादका है
","माई फ़दार तो पहले कश्मीर में थे फिर एलाहाबाद में थे तो पुरा मेरा मेरे फ़ादारका देहान्त एलाहाबादका है
","


I went to the market today."
"बहत बड़ा हिस्सा गुजरा वहिंपे मतलब क्लास वन से सेवन एइट तक
","बहत बड़ा हिस्सा गुजरा वहिंपे तो हं मतलब क्लास वन से सेवन एइट तक
", बहत बड़ा हिस्सा गुजरा वहिंपे मतलब क्लास वन से सेवन एइट तक
"बहत तेज चलाते थे और मैं एनिमलस गिनता था रास्ते मैं
","बहत तेज चलाते थे और मैं अ क्या कहते है ह एनिमलस गिनता था रास्ते मैं
", बहत तेज चलाते थे और मैं एनिमलस गिनता था रास्ते मैं
"सब बैठे हैं शामको चाय हो रही है या जो भी मौसम है गलति से कीसीने शेर कह दिया
","सब बैठे हैं शामको चाय हो रही है या जो भी जामाना मौसम है गलति से कीसीने शेर कह दिया
", सब बैठे हैं शामको चाय हो रही है or whatever weather is going on
"तो मतलब पोयेट्रि के साथ तारुफ़ करायें
","नानीने तो मतलब अ अ पोयेट्रि के साथ तारुफ़ करायें
", meaning to be friendly
"मुझे उससे पहले कि चिजे याद है
","अ मुझे उससे पहले कि चिजे याद है
", I don't remember
"यह एक सिस्टेम हो गया था
","यह एक उह हो गया था एक सिस्टेम हो गया था
", this is a system
"एक एक घण्टा बात करनि परेगि अगर कलपे आगया
","एक एक घण्टा बात करनि परेगि अगर कल कलपे आगया
", one hour to talk to you if you come tomorrow
"एक अमेरिकन फ़ेमलि है
","एक अ एक अमेरिकन फ़ेमलि है
", an american family
"और इनका मार्डार होता है
","और इनका इसका मार्डार होता है
", and their mother
"मैं वो हो गया था कि I became a pleaser
","मैं अ मैं वो हो गया था कि अ I became a pleaser
", I became a pleaser
"डर लगता है ज्यादा फ़ेमस ना हो जांये कभी
","डर लगता है अ ज्यादा फ़ेमस ना हो जांये कभी
", डर लगता है ज्यादा फ़ेमस ना हो जांये कभी
"मैं आपके दुनिया के बारे मे ज्यादा नही जानता हूँ
","मैं अ आपके दुनिया के बारे मे ज्यादा नही जानता हूँ
", I don't know much about your world.
"उस गाने को मैने खुदसे पुरा क्रिएट किया था उसकि लिरिक्स से लेकर कम्पोजिगं और लाचं किया था अपने आपको
","उस गाने को मैने खुदसे पुरा क्रिएट किया था उसकि लिरिक्स से लेकर कम्पोज कम्पोजिगं और लाचं किया था अपने आपको
", that song I made myself
"उह क्वलेटि हे हि नही अपने अन्दर
","उह उह क्वलेटि हे हि नही अपने अन्दर
",ugh
"अपुन इतने सुन्दर है इतने अच्छे है गान्धिगीरी मै
","अपुन इतने सुन्दर है इतने इतने अच्छे है गान्धिगीरी मै
", अपुन इतने सुन्दर है इतने अच्छे है गान्धिगीरी मै
"मुझसे लोग जेलस थे मैं लोगो से जेलस नही था
","अ मुझसे लोग जेलस थे मैं लोगो से जेलस नही था
", I didn't go to school today.
"लोग तुम्हारे फायदा उठाता है
","तुम लोगो लोग तुम्हारे फायदा उठाता है
", people take advantage of you
"लेकिन वहि सब एडवेचंरहि है लाइफका
","लेकिन वहि वहि सब एडवेचंरहि है लाइफका
", but that is all right in life
"मेरा प्रोफ़ेशन ऐसा हो गया है मुझे जो चिज मिला है दौलत शोहरत यह सजा है
","मेरा प्रोफ़ेशन ऐसा हो गया है अ मुझे जो चिज मिला है दौलत शोहरत यह सजा है
", my profession is such that I have what I have wealth and fame
"रोते है कभी हसते है उसपे भी एक गाना है
","रोना रोना रोते है कभी हसते है उसपे भी एक गाना है
",ughhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh can be used to make a variety
"ये १९९३ में मेरी पैदाइस हुई
","ये १९९३ में मैं मेरी पैदाइस हुई
", this is 1993 my birth
"तो सब स्ट्रागल देखे हैं
","तो सब अ स्ट्रागल देखे हैं
", all the stars
"एकदम ऐसा एक बमबु डालके आजुबाजु मैं
","एकदम ऐसा एक एक बमबु डालके आ आजुबाजु मैं
", एकदम ऐसा एक बमबु डालके आजुबाजु मैं
"फिर वालिद को जाना परा मुम्बई से
","फिर अ अ वालिद को अ उनको जाना परा मुम्बई से
", then dad went to Mumbai
"वो लिस्ट अजीब किसीमके होति थी
","वो लिस्ट अ अजीब किसीमके होति थी
", that list is weird
"हं बाहर आजदी थी और ईथुंसियाजम था
","हं बाहर आजदी थी और अ अ ईथुंसियाजम था
", हं बाहर आजदी थी और ईथुंसियाजम था
"बाहार झगड़ा होते थे
","बाहार अ झ झगड़ा होते थे
", बाहार झगड़ा होते थे
"स्वप्ने थे कि कुछ बड़ा करना है
","स्वप्ने थे अ कि कुछ बड़ा करना है
", स्वप्ने थे कि कुछ बड़ा करना है
"कलेज में दोस्तो के साथ मिलके हमने एक ग्रुप जयेन किये
","अ अ कलेज में दोस्तो के साथ मिलके हमने एक एक ग्रुप जयेन किये
", कलेज में दोस्तो के साथ मिलके हमने एक ग्रुप जयेन किये
"मैं अनाड़ी हूँ यह सब में
","मैं अ अनाड़ी हूँ यह सब में
", I am an idiot.
"वार्डस याद नही है मेरेको
","वार्डस वार्डस याद नही है मेरेको
", I don't remember the warden.
"मेरे मम्मी बोलिके वो वाला रैप कीधर गया तेरा
","मेरे मम मेरे मम्मी बोलिके वो वाला रैप कीधर गया तेरा
", my mom said that the rap was good
"वो वाला रैप याद कर और लेकर आ
","वो वाला रैप याद याद कर और लेकर आ
", that one
"तो शुरुयात मे आप शुरु किया तो घर में आप कैसे समझाये के रैप क्या है
","तो शुरुयात मे आप अ अ शुरु किया तो अ घर में आप कैसे समझाये के रैप क्या है
", so I started to rap at home
"और उनको पहले बाद मे मालुम परा उन लोगोको
","और उनको बाद पहले बाद मे बाद मे मालुम परा उन लोगोको
", and their first name is
"मैं पीछे से परफ़र्म कर रहा हूँ और फ़ैमस बनते जा रहा हूँ
","मैं पीछे से परफ़र्म कर रहा हूँ कर रहा हूँ और फ़ैमस बनते जा रहा हूँ
", I am performing behind the scenes and becoming famous
"बोल रहे है ये किस दीशा मे जा रहा है
","बोल रहे है ये ये किस दीशा मे जा रहा है
", बोल रहे is this train going to Delhi
"मेरा लिरिक्स मेरा मिनिगं अलग है
","मेरा लिरिक्स मेरा अ मिनिगं अलग है
", my lirik my minig
"उसको भी धीरे धीरे कैसे भी पटाना परा
","उसको भी धीरे धीरे कैसे भी अ अ पटाना परा
", him also slowly
"बहुत ईस्यु है हमारे वीच
","बहुत अ बहुत ईस्यु है हमारे वीच
", बहुत ईस्यु है हमारे वीच
"अलग अलग सीट है
","अलग अलग अलग अलग सीट है
",不同座位
"डर भी हो सकत है
","डर डर भी हो सकत है
", also be afraid
"मुझे लगता है कि मेरा हमेसा से रहा है के कुछ रिस्ते टैप रेकर्डर कि पज़ बटन कि तरहा होता है
","मुझे लगता है कि मेरे मे मेरा हमेसा से रहा है के कुछ रिस्ते टैप रेकर्डर कि पज़ बटन कि तरहा होता है
",ive got a feeling that my relationship with my girlfriend is like a tape recorder
"और मैं आपकि बारे में पढ़ता रहता हूँ
","और मैं मैं आपकि बारे में पढ़ता रहता हूँ
", and I read about you
"अबतो लोग धीरे धीरे यात्रा करना शुरु कर रहे है
","अ अ अबतो लोग लोग धीरे धीरे यात्रा करना शुरु कर रहे है
", people are going slowly
"अब मेरा दो कमरों का फ्लैट है
","अब मेरा दो दो कमरों का फ्लैट है
", my two rooms flat
"उधर वो भी नही था
","उधर ओ वो भी नही था
",呢度有冇人呀？
"पर मुम्बई एयरपोर्ट पहुंचा
","पर ब मुम्बई एयरपोर्ट पहुंचा
", पर मुम्बई एयरपोर्ट पहुंचा
"मेरे घरके पहले अनील कपुरजीका घर है तो मेरा इये हमेसा से जेस्चर होता था उह बाहर आते थे गले मिलते थे
","मेरे घरके पहले अनील कपुरजीका घर है तो मेरा इये अ अ हमेसा से वो क्या कहते है जेस्चर होता था उह बाहर आते थे गले मिलते थे
", my house is first
"इससे लगता है कि बाद मे या पीछे सिलवर लाईनिगं है
","इससे ल लग लगता है कि बाद मे या पीछे सिलवर लाईनिगं है
", to this
"इसमे दो आपके जो चैपटर के नाम है
","इसमे दो आपके जो चैपटर के ना नाम है
", this is my first time
"आप इस बातको नहीं काट सकते
","आप इस बातको अ अ नहीं काट सकते
", you can't cut this
"यह मेरा इच्छा शक्ति से आति है कि मैं आपकि काम कि कदर किया
","यह मेरा इ इच्छा शक्ति से आति है कि मैं आपकि काम कि कदर किया
", this is my will power that i respect your work
"आपका पुरा व्यक्तित्व चैन्ज़ हो गया
","आपका अ अ आपका पुरा व्यक्तित्व चैन्ज़ हो गया
", your personality is changed
"अभी बीच में मैंने कश्मीरका ज़िक्र किया
","अ अ अभी बीच में मैंने कश्मीरका ज़िक्र किया
", अभी बीच में मैंने कश्मीरका ज़िक्र किया
"इनसल्ट या हमे किसि ने दुःख पहुंचाय है तो उसको भी हम याद रखते हैं
","हम अ हम इनसल्ट या हमे किसि ने दुःख पहुंचाय है तो उसको भी हम याद रखते हैं
", these are the things that we remember
"जो खोकले होते हैं उनमे नहीं होता है
","जो खोकले होते हैं उनको उनमे नहीं होता है
", which is not a word
"पापा फ़रेस्ट डिपार्टमेण्ट में थे
","पापा पार्क डिपार्टमेण्ट फ़रेस्ट डिपार्टमेण्ट में थे
", पापा फ़रेस्ट डिपार्टमेण्ट में थे
"कितना सुखद है इसके अनुभति
","कितना कितना सुखद है इसके अनुभति
", it's a nice day
"कभी कभी हमें अपना गुस्सा ज़िंदा रखता है हर्ट ज़िंदा रखता है
","कभी कभी हमें अपना गुस्सा ज़िंदा रखता है हर्ट हर्ट ज़िंदा रखता है
",ugh
"और मैं इस मुद्दे पे भी पहुँचा हूँ कुछ साल पहले
","और मैं इस मु मुद्दे पे भी पहुँचा हूँ कुछ साल पहले
", and I also got this issue a few years ago
"कुछहि लोग है जिनकी जरुरत आपको होते हैं
","कुछहि लोग है जिनकी अ जिनकी जरुरत आपको होते हैं
", some people are needed
"जो मिला वो मैं अपेक्षा नहीं कि थी
","जो मिला वो उसको मैं अपेक्षा नहीं कि थी
", what I expected
"जो अक्सर कनटेण्ट में किया जाते है
","जो अ अक्सर कनटेण्ट में किया जाते है
", who often
"मुझे लगता है कि वो एक मुझमे अभी भी कमी है
","मुझे लगता है कि अ अ वो एक मुझमे अभी भी अ अ कमी है
", I think he still has something to improve on
"मेरा जो बम्बई से आना और लखनौ आके लखनौ से फिर गांव जाना बहुत बड़ा फैसले थे
","मेरि जो मेरा जो बम्बई से आना और लखनौ आके लखनौ से फिर गांव जाना अ बहुत बड़ा फैसले थे
", my decision to come to Bombay and go back to my village was very big
"वहि जो आप कह रहे हैं
","वहि जो जो आप कह रहे हैं
", that you are saying
"हमारी पुरी परेशानी क्या है पता है नीलेश
","हमारी पुरी प परेशानी क्या है पता है नीलेश
", our
"आप उसको वो बचपन दे रहे हो जो उसको मिलना चाहिये था
","आप उसको वो बचपन दे रहे हो जो वो उसको मिलना चाहिये था
", you are giving him the childhood he needs
"जब तक आपके अन्दर सेनस अफ वनडर है
","जब तक अ आपके अन्दर सेनस अफ वनडर है
", When you have a dream
"इसिलिये मैं ३६ साल में ५१७ फ़िल्मे कर पाया
","इसिलिये मैं अ ३६ साल में ५१७ फ़िल्मे कर पाया
", This is why I made 517 movies
"मैं खुश हूँ जो भी हूँ
","अ अ मैं खुश हूँ जो भी हूँ
", I'm happy with what I am
"मैने अनिल दत्ता को फोन किया मैं बताया क्लासमेट स्टुडेण्ट को कल किया
","मैने अनिल दत्ता को फोन किया जो मेरा मेरा मैं बताया क्लासमेट स्टुडेण्ट को कल किया
", I went to the market today.
"तो वो हुया अच्छा पर्टिशन दिखाना था
","तो तो वो हुया अच्छा पर्टिशन दिखाना था
", he was good at the game
"और मैं अपनि उस वक्त कुछ साल पहले कोइ मरा था उनके बारे में सोचा
","और मैं मैने अपनि उस वक्त कुछ साल पहले कोइ मरा था उनके बारे में सोचा
", and I thought about my father
"और उसका मिक्सचार बन के कुछ और हि प्रोडक्ट आया
","और अ उसका मिक्सचार बन के कुछ और हि प्रोडक्ट आया
", and his mix CD came
"मैं एक अजीब प्रोडक्ट हूँ
","मैं एक अ अजीब प्रोडक्ट हूँ
", I'm a weird product
